,intent,input,source,destination,output
1200,atis_flight, what is the latest flight i can take from washington to sanfrancisco,washington,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1201,atis_flight, what are the flights from denver to baltimore on united airlines,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1202,atis_flight, show me cheap flights from baltimore to dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1203,atis_flight, list the flights arriving in baltimore from boston before 10 am on august third,boston,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1204,atis_aircraft, what kind of aircraft does delta use before 8 am on august second from boston to denver,boston,denver,
1205,atis_flight, show all flights from baltimore to dallas on monday evening and the cost of each flight,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1206,atis_flight, what flights are available from boston to denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1207,atis_flight, hi i'd like to fly from columbus to phoenix and make a stop in cincinnati along the way,columbus,cincinnati,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1208,atis_flight, before 10 o'clock on tuesday is there a 747 that flies from baltimore to sanfrancisco,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1209,atis_flight, give me the flights from salt lake city to newyork city arriving before 6 pm,salt,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1210,atis_airfare, what's the cost of a first class fare from philadelphia to sanfrancisco,philadelphia,sanfrancisco,
1211,atis_flight, find a flight from washington dc to sanfrancisco on tuesday,washington,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1212,atis_flight, pm flights leaving sanfrancisco arriving boston,sanfrancisco,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1213,atis_flight, show me the flights from toronto to cincinnati,toronto,cincinnati,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1214,atis_flight, list all afternoon flights leaving baltimore and arriving in atlanta on thursday,baltimore,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1215,atis_flight, show me flights from boston to baltimore coach on wednesday about 12 noon,boston,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1216,atis_flight, list all flights from boston to sanfrancisco on united airlines,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1217,atis_airfare, cheapest fare from memphis to seattle,memphis,seattle,
1218,atis_flight, show me flights from sanfrancisco to minneapolis,sanfrancisco,minneapolis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1219,atis_flight, please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1220,atis_airline, what kind of airline is flight ua 281 from boston to denver,boston,denver,
1221,atis_flight, give me all the flights from memphis to charlotte,memphis,charlotte,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1222,atis_flight, show me the flights from philadelphia to dallas with a stop in atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1223,atis_flight, show me the flights from denver to philadelphia and the flights from pittsburgh to philadelphia,denver,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1224,atis_flight, show first flight from boston to philadelphia,boston,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1225,atis_aircraft, i need a plane that arrives in sanfrancisco by 9 o'clock pm on friday and leaves from baltimore,baltimore,sanfrancisco,
1226,atis_flight, show flights from denver to oakland arriving between 12 and 1 o'clock,denver,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1227,atis_flight, what are the flights from charlotte to atlanta returning on tuesday july thirteenth,charlotte,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1228,atis_flight, show last flight from philadelphia to boston,philadelphia,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1229,atis_flight, i want a flight from boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1230,atis_flight, when are the american flights from phoenix to milwaukee,phoenix,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1231,atis_flight, what are the cheapest one way flights from denver to atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1232,atis_flight, show me the flights from newark to losangeles,newark,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1233,atis_flight, list the nonstop flights from miami to newyork on a sunday along with the fares that are less than 466 dollars,miami,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1234,atis_flight, i need a listing of flights from stpetersburg florida to tacoma washington leaving tomorrow and i would like to have a stopover in milwaukee please,stpetersburg,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1235,atis_flight, what flights from losangeles to minneapolis,losangeles,minneapolis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1236,atis_flight, show me the cheapest flights round trip from newyork to sanjose,newyork,sanjose,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1237,atis_flight, show flights from pittsburgh to oakland,pittsburgh,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1238,atis_flight, show all monday flights from sanfrancisco to pittsburgh,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1239,atis_flight, list the first class flights from baltimore to denver,baltimore,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1240,atis_flight, could you show me all flights from montreal to charlotte,montreal,charlotte,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1241,atis_flight, i want to fly from philadelphia to dallas and make a stopover in atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1242,atis_flight, show me early friday morning flights from sanfrancisco to boston,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1243,atis_flight, what flights are available from atlanta to washington dc on wednesday,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1244,atis_flight, american flights from sanfrancisco please,sanfrancisco,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1245,atis_flight, show me all flights from pittsburgh to baltimore,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1246,atis_flight, show me the flights from boston to denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1247,atis_flight, i need the cheapest direct flight from atlanta to denver leaving on may seventh,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1248,atis_flight, show me the flights from losangeles to pittsburgh which arrive at pittsburgh on monday,losangeles,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1249,atis_flight, list flights from atlanta to boston on wednesday afternoon,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1250,atis_flight, what is your earliest morning flight from indianapolis to charlotte,indianapolis,charlotte,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1251,atis_flight, i'd like the flights from sanjose to nashville on the morning of friday june third,sanjose,nashville,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1252,atis_flight, i would like the first flight from toronto to montreal next friday,toronto,montreal,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1253,atis_flight, display flights from dallas to atlanta which depart between 2 pm and 6 pm,dallas,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1254,atis_flight, what is the earliest flight that goes from atlanta to washington on thursday,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1255,atis_flight, list flights from pittsburgh to baltimore on thursday morning nonstop,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1256,atis_flight, which transcontinental flight on united airlines from boston to dallas makes a stopover in philadelphia,boston,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1257,atis_flight, flights from cincinnati to losangeles departing after 718 am,cincinnati,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1258,atis_flight, show me all flights that go from newyork to miami on tuesday and go from miami to newyork on sunday,newyork,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1259,atis_airfare, round trip fares from denver to philadelphia under 1000 dollars,denver,philadelphia,
1260,atis_flight, please list the flights from philadelphia to toronto,philadelphia,toronto,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1261,atis_flight, give me the flights from pittsburgh to losangeles on thursday evening,pittsburgh,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1262,atis_flight, show me all flights from dallas to pittsburgh which leave on monday after 8 o'clock am,dallas,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1263,atis_flight, show me flights from baltimore to philadelphia,baltimore,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1264,atis_flight, from pittsburgh to baltimore,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1265,atis_flight, show me the flights that leave on thursday mornings from atlanta to washington and include whether meals are offered and what the prices are,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1266,atis_flight, i need a connecting flight on continental on june fifth from chicago to seattle,chicago,seattle,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1267,atis_flight, does flight ua 281 from boston to denver leave on tuesday,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1268,atis_flight, what are the flights from boston to baltimore,boston,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1269,atis_flight, information on a flight from sanfrancisco to philadelphia,sanfrancisco,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1270,atis_flight, what flights go from boston to sanfrancisco with a stop in dallas,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1271,atis_flight, i would like the flight from atlanta to denver that has the cheapest one way fare,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1272,atis_flight, what is the earliest flight from ontario to memphis,ontario,memphis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1273,atis_flight, what are the cheapest one way flights from pittsburgh to atlanta,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1274,atis_flight, show me the flights from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1275,atis_airfare, lowest fare from sanfrancisco to sandiego,sanfrancisco,sandiego,
1276,atis_flight, what flights from stpaul to kansas city on friday with dinner served,stpaul,kansas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1277,atis_airfare, okay we're going from washington to denver first class ticket i'd like to know the cost of a first class ticket,washington,denver,
1278,atis_flight_time, show me the flight schedule from pittsburgh to sanfrancisco,pittsburgh,sanfrancisco,
1279,atis_flight, all flights from miami to newyork,miami,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1280,atis_flight_time, what time does the tuesday morning 755 flight leaving washington arrive in sanfrancisco,washington,sanfrancisco,
1281,atis_flight, show me all flights from atlanta to sanfrancisco,atlanta,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1282,atis_flight, please give me all flights from dallas to oakland before noon,dallas,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1283,atis_airfare, what is the cost for a one way trip from pittsburgh to atlanta,pittsburgh,atlanta,
1284,atis_airfare, could you please tell me the cheapest fare from atlanta to boston,atlanta,boston,
1285,atis_flight, what flights go from newark to boston after 5 pm,newark,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1286,atis_flight, show me the cheapest flights round trip from newyork to sanjose arriving in sanjose before 7 pm,newyork,sanjose,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1287,atis_flight, give me flights from atlanta to baltimore,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1288,atis_flight, i need a flight from losangeles to pittsburgh on monday afternoon,losangeles,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1289,atis_flight, i want to travel from philadelphia to sanfrancisco with a stopover in dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1290,atis_flight, what is the most expensive flight from boston to dallas,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1291,atis_flight, please show me the flights from boston to sanfrancisco,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1292,atis_flight, i want a flight from montreal quebec to sandiego california that leaves sunday,montreal,sandiego,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1293,atis_airline, please show me airlines with flight service from boston to denver from denver to philadelphia and from philadelphia to boston,boston,denver,
1294,atis_flight, latest flight from houston to sanjose,houston,sanjose,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1295,atis_flight, list the earliest flights from atlanta to denver on a monday,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1296,atis_aircraft, what kind of aircraft is used on the first class american airlines flight from philadelphia to sanfrancisco with a dallas stopover,philadelphia,sanfrancisco,
1297,atis_flight, show me the earliest flight on august second from boston to denver that serves a meal,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1298,atis_flight, okay does twa have a flight from dallas to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1299,atis_airfare, what is the round trip thrift fare on us air from boston to sanfrancisco,boston,sanfrancisco,
1300,atis_flight, what is your last trip from washington to boston on august twenty seventh,washington,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1301,atis_flight, i'd like a flight on american from newark to nashville,newark,nashville,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1302,atis_flight, what is the least expensive flight from atlanta to boston,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1303,atis_flight, are there any flights from milwaukee to tacoma on friday june eleventh,milwaukee,tacoma,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1304,atis_flight, what's the earliest flight from boston to philadelphia,boston,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1305,atis_flight, on usa air how many flights leaving oakland on july twenty seventh to boston nonstop,oakland,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1306,atis_flight, list all american airlines from milwaukee to phoenix on saturday,milwaukee,phoenix,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1307,atis_flight, i would like a flight from sanfrancisco to pittsburgh on friday morning after 10 o'clock,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1308,atis_aircraft, what type of aircraft leaves from boston to washington dc at 9 am during a weekday,boston,washington,
1309,atis_flight, list all afternoon flights on united airlines from sanfrancisco to denver,sanfrancisco,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1310,atis_flight, information on flights from atlanta to washington dc departing on thursday before 9 am,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1311,atis_flight, what is the cheapest flight from sanfrancisco to pittsburgh on sunday,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1312,atis_flight, show me all the flights to baltimore from denver or philadelphia or pittsburgh,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1313,atis_flight, are there any flights from chicago to minneapolis on saturday on continental,chicago,minneapolis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1314,atis_flight, i need a flight from philadelphia to dallas that stops in atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1315,atis_flight, flights from ontario to orlando,ontario,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1316,atis_flight, list the flights arriving in baltimore from denver on august third,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1317,atis_flight, show me flights from baltimore to philadelphia please,baltimore,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1318,atis_flight, show me the flights from washington to boston,washington,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1319,atis_flight, flights from philadelphia to oakland,philadelphia,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1320,atis_airfare, what is the fare for flights from denver to atlanta,denver,atlanta,
1321,atis_flight, what flights go from seattle to boston via minneapolis,seattle,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1322,atis_flight, please list the flights from ontario california to orlando florida,ontario,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1323,atis_flight, please book for me a flight on twa from washington dc to sanfrancisco earliest possible time,washington,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1324,atis_flight, list all flights from pittsburgh to philadelphia,pittsburgh,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1325,atis_flight, i'd like information on a flight from atlanta to denver a morning flight,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1326,atis_flight, is there a red eye flight from sanjose to nashville on wednesday the nineteenth of may,sanjose,nashville,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1327,atis_flight, i'm looking for flights from oakland to atlanta leaving before 1045 am,oakland,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1328,atis_flight, show me the cheapest flights from atlanta to denver,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1329,atis_flight, flights from denver to pittsburgh on thursday,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1330,atis_flight, flights from cleveland to kansas city,cleveland,kansas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1331,atis_flight, show me the flights from baltimore to oakland please,baltimore,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1332,atis_flight, show me the earliest flights from boston to denver on wednesday,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1333,atis_flight, flight information from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1334,atis_airfare, show me the most expensive one way first class fare from baltimore to dallas,baltimore,dallas,
1335,atis_flight, what is the earliest morning flight from sanfrancisco to boston,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1336,atis_flight, what flights are there from boston to denver on monday morning,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1337,atis_flight, i need a flight from atlanta to baltimore nonstop arriving at 7 pm please,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1338,atis_flight, show me the flights from boston to oakland,boston,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1339,atis_airfare, i would like a ticket leaving from denver colorado to atlanta georgia with a stop in pittsburgh,denver,pittsburgh,
1340,atis_flight, list daily flights from boston to oakland using continental airlines,boston,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1341,atis_flight, show me the flights from dulles to sanfrancisco leaving after 6 pm,dulles,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1342,atis_flight, now get me from pittsburgh to denver,pittsburgh,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1343,atis_flight, on continental flight 1765 from boston to sanfrancisco what type of meal is served,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1344,atis_flight, show me all flights arriving to denver from boston,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1345,atis_flight, what are the afternoon flights leaving from dallas to sanfrancisco on american airlines,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1346,atis_flight, what is american's last flight from boston to washington dc on july twenty first,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1347,atis_flight, i would like information on flights from pittsburgh to baltimore arriving in baltimore before 10 am on thursday,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1348,atis_flight, is there a round trip flight from baltimore to denver connecting in dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1349,atis_flight, list all flights from boston to sanfrancisco with at least 3 stops,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1350,atis_flight, what flights are available sunday afternoon from oakland to dallas,oakland,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1351,atis_flight, does american airlines offer a flight from boston to oakland which stops in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1352,atis_flight, show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1353,atis_flight, show me the flights from newyork to losangeles with stop in milwaukee,newyork,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1354,atis_flight, what is the earliest flight from philadelphia to dallas first class,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1355,atis_airfare, show me the cheapest fares from miami to newyork leaving on a sunday,miami,newyork,
1356,atis_flight, please show me all round trip flights from burbank to tacoma,burbank,tacoma,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1357,atis_flight, give me all the flights from newyork to miami round trip,newyork,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1358,atis_flight, flight leaving chicago to nashville,chicago,nashville,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1359,atis_airfare, can you list the cheapest round trip fare from orlando to kansas city,orlando,kansas,
1360,atis_flight, show me the flights from sandiego to washington dc,sandiego,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1361,atis_airfare, what is the lowest cost for a one way ticket from boston to washington,boston,washington,
1362,atis_flight_time, i would like a schedule of flights from sanfrancisco to boston on wednesday,sanfrancisco,boston,
1363,atis_flight, show flights from dallas to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1364,atis_flight, give me the earliest flight tomorrow on northwest airlines from stpetersburg to milwaukee,stpetersburg,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1365,atis_flight, what is the cheapest flight from washington to sanfrancisco on friday,washington,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1366,atis_flight, show me all the united flights from boston to denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1367,atis_flight, what is the last flight from atlanta to boston,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1368,atis_flight, show me all the flights from denver to baltimore arriving may tenth,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1369,atis_airfare, what is the least expensive one way ticket from atlanta to denver leaving on october twelfth,atlanta,denver,
1370,atis_flight, list all nonstop flights from newark to tampa leaving on friday,newark,tampa,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1371,atis_flight, show me all flights on us airlines from boston to oakland california which leave after 11 o'clock am,boston,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1372,atis_flight, find the earliest flight from boston to oakland that serves breakfast,boston,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1373,atis_flight, show me flights from tampa to stlouis leaving before 10 am,tampa,stlouis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1374,atis_flight, i would like a flight from denver to pittsburgh,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1375,atis_airfare, first class fares from dallas to baltimore please,dallas,baltimore,
1376,atis_flight, show me the flights arriving in baltimore on june fifteenth leaving either from denver or dallas,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1377,atis_flight, show me flights from denver to philadelphia arriving after 2100,denver,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1378,atis_flight, i need a flight from stpetersburg to miami for thursday,stpetersburg,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1379,atis_flight, then list the flights from atlanta to philadelphia early wednesday morning nonstop,atlanta,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1380,atis_flight, list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm,denver,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1381,atis_flight, flights from cincinnati to dallas departing after 718 am,cincinnati,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1382,atis_flight, how about flights leaving sanfrancisco and arriving in boston for any day,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1383,atis_flight, i would like information on twa flights from washington to philadelphia,washington,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1384,atis_flight, okay can you tell me the earliest flight which leaves from philadelphia to dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1385,atis_flight, what's the cheapest flight from denver to pittsburgh for both one way and round trip flights,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1386,atis_flight, can you show me what flights are available on december sixteen going from oakland to dallas,oakland,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1387,atis_flight, please show me flights from pittsburgh to boston on saturday morning after 8 am,pittsburgh,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1388,atis_airfare, show me all prices of economy from baltimore to dallas,baltimore,dallas,
1389,atis_flight, what flights are available on dl from dallas to atlanta on monday morning,dallas,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1390,atis_flight, what are the evening flights from atlanta to baltimore,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1391,atis_flight, what are the flights from dallas to philadelphia,dallas,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1392,atis_flight, what's the earliest flight from atlanta to boston,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
1393,atis_aircraft, sure i'd like to determine what aircraft are use on july seventh leaving from boston and arriving in atlanta on july seventh,boston,atlanta,
1394,atis_flight, flights from denver to chicago on sunday on continental,denver,chicago,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
